year	award	winner	name	code	nominateby
1929	Best Actor in a Leading Role	T	Emil Jannings	nm0417837	The Last Command The Way of All Flesh
1929	Best Actor in a Leading Role	F	Richard Barthelmess	nm0001932	The Patent Leather Kid
1929	Best Actor in a Leading Role	F	Richard Barthelmess	nm0001932	The Noose
1929	Best Actress in a Leading Role	T	Janet Gaynor	nm0310980	7th Heaven Street Angel Sunrise
1929	Best Actress in a Leading Role	F	Gloria Swanson	nm0841797	Sadie Thompson
1929	Best Actress in a Leading Role	F	Louise Dresser	nm0237571	A Ship Comes In
1929	Best Art Direction	T	Tempest	tt0019451
1929	Best Art Direction	T	The Dove	tt0017822
1929	Best Art Direction	F	7th Heaven	tt0018379
1929	Best Art Direction	F	Sunrise	tt0018455
1929	Best Cinematography	T	Sunrise	tt0018455
1929	Best Cinematography	F	Sadie Thompson	tt0019344
1929	Best Cinematography	F	The Devil Dancer	tt0017806
1929	Best Cinematography	F	The Magic Flame	tt0018129
1929	Best Director, Comedy Picture	T	Lewis Milestone	nm0587277	Two Arabian Knights
1929	Best Director, Comedy Picture	F	Ted Wilde	nm0928514	Speedy
1929	Best Director, Dramatic Picture	T	Frank Borzage	nm0097648	7th Heaven
1929	Best Director, Dramatic Picture	F	Herbert Brenon	nm0107543	Sorrell and Son
1929	Best Director, Dramatic Picture	F	King Vidor	nm0896542	The Crowd
1929	Best Effects, Engineering Effects	T	Wings	tt0018578
1929	Best Effects, Engineering Effects	F	Nugent Slaughter	nm0805521
1929	Best Effects, Engineering Effects	F	Ralph Hammeras	nm0358518
1929	Best Picture, Production	T	Wings	tt0018578
1929	Best Picture, Production	F	7th Heaven	tt0018379
1929	Best Picture, Production	F	The Racket	tt0019304
1929	Best Picture, Unique and Artistic Production	T	Sunrise	tt0018455
1929	Best Picture, Unique and Artistic Production	F	Chang: A Drama of the Wilderness	tt0017743
1929	Best Picture, Unique and Artistic Production	F	The Crowd	tt0018806
1929	Best Writing, Adaptation	T	7th Heaven	tt0018379
1929	Best Writing, Adaptation	F	Glorious Betsy	tt0018945
1929	Best Writing, Adaptation	F	The Jazz Singer	tt0018037
1929	Best Writing, Original Story	T	Underworld	tt0018526
1929	Best Writing, Original Story	F	The Last Command	tt0019071
1929	Best Writing, Title Writing	T	Joseph Farnham	nm0267868
1929	Best Writing, Title Writing	F	George Marion Jr.	nm0547938
1929	Best Writing, Title Writing	F	The Private Life of Helen of Troy	tt0017979
1929	Best Actor in a Leading Role	T	Emil Jannings	nm0417837	The Last Command The Way of All Flesh
1929	Best Actor in a Leading Role	F	Richard Barthelmess	nm0001932	The Patent Leather Kid
1929	Best Actor in a Leading Role	F	Richard Barthelmess	nm0001932	The Noose
1929	Best Actress in a Leading Role	T	Janet Gaynor	nm0310980	7th Heaven Street Angel Sunrise
1929	Best Actress in a Leading Role	F	Gloria Swanson	nm0841797	Sadie Thompson
1929	Best Actress in a Leading Role	F	Louise Dresser	nm0237571	A Ship Comes In
1929	Best Art Direction	T	Tempest	tt0019451
1929	Best Art Direction	T	The Dove	tt0017822
1929	Best Art Direction	F	7th Heaven	tt0018379
1929	Best Art Direction	F	Sunrise	tt0018455
1929	Best Cinematography	T	Sunrise	tt0018455
