"","date_2018","Page.Name","Page.Category","Page.Admin.Top.Country","Post.Created","Total.Interactions","Message","Link"
"1","2018-05-29","台灣基進高雄黨部","POLITICAL_PARTY","TW","2018-05-29 17:40:27 CST","32","小編:離截止日期越來越近,大家快來黨部找小編幫忙連署喔~~~ 前天 洪正和 左營楠梓翰－李欣翰 以及 基進黨高雄黨部 的夥伴分別在龍華國小、信義國小＆鳳山行政中心進行 進擊的台灣隊-Team Taiwan 東奧台灣正名連署，從早上八點到下午四點，完完全全體驗到太陽伯的熱（ㄎㄨㄥˇ）情（ㄅㄨˋ）。 　 很多優秀的台灣選手代表台灣出征國際賽事時，被迫使用中華台北，而不能使用「台灣隊」（或其他能代表台灣的名稱）出征。 　 對於國際社會，中華台北 Chinese Taipei 其實就是中國的台北，具有高度殖民意涵的名稱。 因此，我們希望透過連署行動，向國際社會宣示台灣獨立自主的決心！","https://www.facebook.com/takaoradicalwings/photos/a.266181813879891/391065728058165/?type=3"
"2","2018-05-29","我是台灣人．台灣是咱的國家","ACTIVITY_GENERAL","TW","2018-05-29 23:35:48 CST","515","#東奧台灣正名公投，是台灣人民反制中國，以全民意志表態「台灣不是中國一部份」的最佳途徑 #加入東奧正名連署 https://www.facebook.com/welovetaiwancountry/posts/1739748616047555 摘》中國4月底至函全球航空業，要求將台灣不得分類為國家、要歸類為中國一省，但遭到美國、澳洲官方斥責，至今仍有過半收到信函的航空業者尚未更改台灣稱謂，目前在44家外國航空公司中，已有18家完成更改、26家因「技術原因」申請延期，中國民航局則同意最晚期限延至7月25日。 對此，中國又於5月初施壓IATA，希望全球承認台灣屬於中國；涉外人士指出若IATA妥協，那旗下航空會員則必須全部照辦。","http://m.ltn.com.tw/news/politics/breakingnews/2440320"
"3","2018-05-29","進擊的台灣隊-Team Taiwan","ACTIVITY_GENERAL","TW","2018-05-29 22:38:24 CST","666","中國一再打壓，我們不能只是一再被動因應，應該主動出擊、積極推動正名！ #正名正夯 #台灣就是台灣 #2020東京奧運台灣正名 http://m.ltn.com.tw/news/politics/breakingnews/2440320 -------- 東奧正名公投，第二階段連署已開跑！ 目標衝破40萬份，請大家踴躍參與！ >>連署書自動產生器 https://www.2020teamtaiwan.org/petition/fans >>郵筒位置 https://www.2020teamtaiwan.org/post_map/:=:https://www.2020teamtaiwan.org/ >>全台實體連署站(google map) https://www.2020teamtaiwan.org/petitionmap/:=:https://www.2020teamtaiwan.org/ >>取得更多空白連署書 https://goo.gl/EgmTkr:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.504547829741849.1073741828.492749717588327/749143668615596/?type=3&theater >>懶人包 https://goo.gl/KrDrZC:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/753241248205838 >>志工招募 https://goo.gl/fi3AmY:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/763554620507834 >>公投主文&理由書 https://goo.gl/oM8wFZ:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/723665517830078 >>識別設計の理念 http://goo.gl/NkhMHK:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.504547829741849.1073741828.492749717588327/707775059419124/?type=3&theater >>手作特效框 https://goo.gl/DvcJ63:=:https://www.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fprofilepicframes%3Fquery%3D%25E9%2580%25B2%25E6%2593%258A%25E7%259A%2584%25E5%258F%25B0%25E7%2581%25A3%25E9%259A%258A >>我們的網站 http://teamtaiwan.team/","http://m.ltn.com.tw/news/politics/breakingnews/2440320"
"4","2018-05-30","我是台灣人．台灣是咱的國家","ACTIVITY_GENERAL","TW","2018-05-30 22:19:52 CST","574","正在找 #東奧正名連署站地圖 的朋友看這邊喔 https://www.2020teamtaiwan.org/petitionmap/","https://www.facebook.com/welovetaiwancountry/photos/a.278467388842359/1724553110900439/?type=3"
"5","2018-05-30","民報","PERSON","TW","2018-05-30 15:24:18 CST","170","前奧運國手紀政領銜提出的「#2020東京奧運台灣正名公投」提案，現正朝向第2階段28萬份連署門檻挺進。中國國台辦發言人安峰山今（30）日對此表示，#台灣體育健兒摘金奪銀，這是 #兩岸全體中國人的驕傲。他並批「東奧正名公投」最終只會 #自食惡果。","http://www.peoplenews.tw/news/44de4787-5449-40c9-b8ed-766391edaa77"
"6","2018-05-30","進擊的台灣隊-Team Taiwan","ACTIVITY_GENERAL","TW","2018-05-30 18:00:01 CST","415","好快一週又過了！ 上週組訓和擺簽署攤位一起,曾經短暫的一個“簽”七個。真的差點把小編累死。好險小編從小就勞其筋骨，苦其心智，才能這麼勇猛。七個真的沒有什麼，下週看能不能挑戰10個。 好，我們金牌志工隊呢～依然需要大家不斷的加入當志工，幫點小忙。 邊忙邊看小編搞笑也好，我們志工團隊總是充滿樂趣的，偶爾樵來樵去的。 希望大家在過程中都能開心和享受簽署帶來的成就感。 本週組訓時間地點如下： 6/1 週五 時間：晚上18:00 到 21:30 地點：杭州南路一段27號2樓(台獨聯盟會議室) 6/2 週六 時間：下午14:00 到 17:30 地點：捷運忠孝新生站一號出口 6/3 週日 時間：下午14:00到17:30 地點：捷運忠孝新生站一號出口 歡迎大家加入我們！報名志工請點下方連結： https://docs.google.com/forms/d/e/1FAIpQLSfbcmdxxqj9y_fU8sT7hTDfgWZMFoN4DYd3RA9EDAR7f7wYQA/viewform ------- 東奧正名公投，第二階段連署已開跑！ 目標衝破40萬份，請大家踴躍參與！ >>連署書自動產生器 https://www.2020teamtaiwan.org/petition/fans >>郵筒位置 https://www.2020teamtaiwan.org/post_map/ >>全台實體連署站(google map) https://www.2020teamtaiwan.org/petitionmap/ >>取得更多空白連署書 https://goo.gl/EgmTkr >>懶人包 https://goo.gl/KrDrZC >>志工招募 https://goo.gl/fi3AmY >>公投主文&理由書 https://goo.gl/oM8wFZ >>識別設計の理念 http://goo.gl/NkhMHK >>手作特效框 https://goo.gl/DvcJ63 >>我們的網站 http://teamtaiwan.team/","https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.504547829741849/774115312785098/?type=3"
"7","2018-05-30","台灣教授協會","NON_PROFIT","TW","2018-05-30 09:08:00 CST","32","【台灣犬阿台出沒注意】（台中限定） 5/30 - 6/2連續4天 台灣犬阿台和你一起 連署支持台灣隊正名參加2020東京奧運 支持台灣體育！ 支持台灣走入國際！ 　 5/30 亞洲大學 連署時間：10:00 - 13:00 阿台出沒：12:00 - 13:00 連署地點：人文學院內7-11旁 并控制映後座談時間：18:30 - 21:00 并控制映後座談地點：亞洲大學資訊學院三樓 I309教室 　 5/31 靜宜大學 連署時間：10:00 - 14:00 阿台出沒：12:00 - 13:00 東奧正名并控制映後座談時間：15:00 - 18:00 并控制映後座談地點：靜宜大學思源樓113演講廳(階梯教室) 主辦：台灣教授協會 　 6/1 市民廣場/大墩文化中心 連署時間：13:00 - 16:00 阿台出沒：13:00 - 14:00 連署地點：市民廣場草皮 并控制映後座談時間：17:30 - 20:30 并控制映後座談地點：大墩文化中心 　 6/2 市民廣場/默契咖啡 連署時間：16:00 - 19:00 阿台出沒：16:00 - 17:00 連署地點：市民廣場草皮 并控制映後座談時間：19:00 - 22:00 并控制映後座談地點：默契咖啡一店(台中市西屯區台灣大道二段902號) 　 主辦：臺灣人權文化協會、台灣教授協會、亞大不學無術丈量室、靜宜尋根樹、靜宜臺灣研究中心、靜宜大學學生自治會學權部、默契咖啡、獨立青年陣線 　 ※如果你想在校內推動東京奧運台灣隊正名運動，「設點擺攤跑連署」，，請私訊台灣教授協會粉絲頁，台教會非常樂意跟散落在大學裡頭的青年社團與熱血青年合作ଘ(੭ˊᵕˋ)੭* ੈ✩‧ https://www.facebook.com/TAUPfans/","https://www.facebook.com/nagee.tw/photos/a.10151409298917312/10155293786722312/?type=3"
"8","2018-05-30","nagee","ACTIVITY_GENERAL","TW","2018-05-30 00:19:39 CST","1,915","【台灣犬阿台出沒注意】（台中限定） 更新公告 6/1 連署時間：13:00 - 17:00 阿台出沒：16:00 - 17:00 連署地點：勤美誠品草悟道入口 6/2（六） 阿台休息 ＝＝＝＝＝ 2020東京奧運我們開始叫台灣！【第一彈】 https://www.youtube.com/watch?v=lYZVDoLfKnE&feature=youtu.be 5/30 - 6/2連續4天 台灣犬阿台和你一起 連署支持台灣隊正名參加2020東京奧運 支持台灣體育！ 支持台灣走入國際！ 　 5/30 亞洲大學 連署時間：10:00 - 13:00 阿台出沒：12:00 - 13:00 連署地點：人文學院內7-11旁 并控制映後座談時間：18:30 - 21:00 并控制映後座談地點：亞洲大學資訊學院三樓 I309教室 　 5/31 靜宜大學 連署時間：10:00 - 14:00 阿台出沒：12:00 - 13:00 東奧正名并控制映後座談時間：15:00 - 18:00 并控制映後座談地點：靜宜大學思源樓113演講廳(階梯教室) 主辦：台灣教授協會 　 6/1 市民廣場/大墩文化中心 連署時間：13:00 - 17:00 阿台出沒：16:00 - 17:00 連署地點：勤美誠品草悟道入口 并控制映後座談時間：17:30 - 20:30 并控制映後座談地點：大墩文化中心 　 6/2 市民廣場/默契咖啡 連署時間：16:00 - 19:00 阿台出沒：（本日公休） 連署地點：勤美誠品草悟道入口 并控制映後座談時間：19:00 - 22:00 并控制映後座談地點：默契咖啡一店(台中市西屯區台灣大道二段902號) 　 主辦：臺灣人權文化協會、台灣教授協會、亞大不學無術丈量室、靜宜尋根樹、靜宜臺灣研究中心、靜宜大學學生自治會學權部、默契咖啡、獨立青年陣線 　 ※如果你想在校內推動東京奧運台灣隊正名運動，「設點擺攤跑連署」，，請私訊台灣教授協會粉絲頁，台教會非常樂意跟散落在大學裡頭的青年社團與熱血青年合作ଘ(੭ˊᵕˋ)੭* ੈ✩‧ https://www.facebook.com/TAUPfans/","https://www.facebook.com/nagee.tw/photos/a.10151409298917312/10155293786722312/?type=3"
"9","2018-05-30","nagee","ACTIVITY_GENERAL","TW","2018-05-30 22:08:12 CST","1,858","台灣犬阿台和大家一起 連署支持台灣隊正名參加2020東京奧運 在亞洲大學 【未來三天阿台出沒情報注意】（台中限定） https://goo.gl/mfJ9Ud:=:https://www.facebook.com/nagee.tw/photos/a.10151409298917312.1073741829.353390642311/10155293786722312/?type=3&theater #台灣就是台灣 #2020東京奧運台灣正名 -------- 東奧正名公投，第二階段連署已開跑！ 目標衝破40萬份，請大家踴躍參與！ >>連署書自動產生器 https://www.2020teamtaiwan.org/petition/fans >>郵筒位置 https://www.2020teamtaiwan.org/post_map/ >>全台實體連署站(google map) https://www.2020teamtaiwan.org/petitionmap/ >>取得更多空白連署書 https://goo.gl/EgmTkr:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.504547829741849.1073741828.492749717588327/749143668615596/?type=3&theater >>懶人包 https://goo.gl/KrDrZC:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/753241248205838 >>志工招募 https://goo.gl/fi3AmY:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/763554620507834 >>公投主文&理由書 https://goo.gl/oM8wFZ:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/723665517830078 >>識別設計の理念 http://goo.gl/NkhMHK:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.504547829741849.1073741828.492749717588327/707775059419124/?type=3&theater >>手作特效框 https://goo.gl/DvcJ63:=:https://www.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fprofilepicframes%3Fquery%3D%25E9%2580%25B2%25E6%2593%258A%25E7%259A%2584%25E5%258F%25B0%25E7%2581%25A3%25E9%259A%258A >>我們的網站 http://teamtaiwan.team/","https://www.facebook.com/nagee.tw/photos/a.10154921716927312/10155295557442312/?type=3"
"10","2018-05-30","進擊的台灣隊-Team Taiwan","ACTIVITY_GENERAL","TW","2018-05-30 12:11:53 CST","322","台中的朋友你們在哪裡～（揮手～ 連續四天的台中連署活動開跑囉！ 現場除了有連署攤位之外，還有古錐的台灣犬阿台與大家相見歡唷！ 中部的朋友快把握這幾天揪團怒簽一波！ 　 活動詳情： https://www.facebook.com/nagee.tw/posts/10155293794117312 活動地點： 5/30 亞洲大學 連署時間：10:00 - 13:00 阿台出沒：12:00 - 13:00 連署地點：人文學院內7-11旁 并控制映後座談時間：18:30 - 21:00 并控制映後座談地點：亞洲大學資訊學院三樓 I309教室 　 5/31 靜宜大學 連署時間：10:00 - 14:00 阿台出沒：12:00 - 13:00 東奧正名并控制映後座談時間：15:00 - 18:00 并控制映後座談地點：靜宜大學思源樓113演講廳(階梯教室) 主辦：台灣教授協會 　 6/1 市民廣場/大墩文化中心 連署時間：13:00 - 16:00 阿台出沒：13:00 - 14:00 連署地點：市民廣場草皮 并控制映後座談時間：17:30 - 20:30 并控制映後座談地點：大墩文化中心 　 6/2 市民廣場/默契咖啡 連署時間：16:00 - 19:00 阿台出沒：16:00 - 17:00 連署地點：市民廣場草皮 并控制映後座談時間：19:00 - 22:00 并控制映後座談地點：默契咖啡一店(台中市西屯區台灣大道二段902號) 　 主辦單位：臺灣人權文化協會、台灣教授協會、亞大不學無術丈量室、靜宜尋根樹、靜宜臺灣研究中心、靜宜大學學生自治會學權部、默契咖啡、獨立青年陣線 #台灣就是台灣 #2020東京奧運台灣正名 -------- 東奧正名公投，第二階段連署已開跑！ 目標衝破40萬份，請大家踴躍參與！ >>連署書自動產生器 https://www.2020teamtaiwan.org/petition/fans >>郵筒位置 https://www.2020teamtaiwan.org/post_map/ >>全台實體連署站(google map) https://www.2020teamtaiwan.org/petitionmap/ >>取得更多空白連署書 https://goo.gl/EgmTkr:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.504547829741849.1073741828.492749717588327/749143668615596/?type=3&theater >>懶人包 https://goo.gl/KrDrZC:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/753241248205838 >>志工招募 https://goo.gl/fi3AmY:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/763554620507834 >>公投主文&理由書 https://goo.gl/oM8wFZ:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/posts/723665517830078 >>識別設計の理念 http://goo.gl/NkhMHK:=:https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.504547829741849.1073741828.492749717588327/707775059419124/?type=3&theater >>手作特效框 https://goo.gl/DvcJ63:=:https://www.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fprofilepicframes%3Fquery%3D%25E9%2580%25B2%25E6%2593%258A%25E7%259A%2584%25E5%258F%25B0%25E7%2581%25A3%25E9%259A%258A >>我們的網站 http://teamtaiwan.team/","https://www.facebook.com/TeamTaiwan.2020TokyoOlympics/photos/a.525784754284823/774333292763300/?type=3"
