"prvCode","cityCode","areaCode","liCode","deptCode","profRate"
"00","000","00","0000","000",53
"01","000","00","0000","000",43.81
"02","000","00","0000","000",36.97
"03","001","00","0000","000",45.02
"03","002","00","0000","000",58.09
"03","003","00","0000","000",45.21
"03","004","00","0000","000",52.44
"03","005","00","0000","000",66.12
"03","006","00","0000","000",51.52
"03","007","00","0000","000",42.57
"03","008","00","0000","000",57.69
"03","009","00","0000","000",44.19
"03","010","00","0000","000",51.28
"03","011","00","0000","000",40.91
"03","012","00","0000","000",50.23
"03","013","00","0000","000",59.45
"03","014","00","0000","000",48.33
"03","015","00","0000","000",52.34
"03","016","00","0000","000",49.02
"03","017","00","0000","000",40.86
"03","018","00","0000","000",38.22
"03","019","00","0000","000",40.31
"03","020","00","0000","000",32.58
"03","021","00","0000","000",37.99
"04","001","00","0000","000",34.78
"04","002","00","0000","000",70
"01","000","00","0000","001",39.18
"01","000","00","0000","002",43.98
"01","000","00","0000","003",36.27
"01","000","00","0000","004",40.22
"01","000","00","0000","005",52.74
"01","000","00","0000","006",49.1
"01","000","00","0000","007",45.1
"01","000","00","0000","008",45.48
"01","000","00","0000","009",41.98
"01","000","00","0000","010",47.12
"01","000","00","0000","011",42.86
"01","000","00","0000","012",46.31
"02","000","00","0000","001",30
"02","000","00","0000","002",35.29
"02","000","00","0000","003",37.93
"02","000","00","0000","004",42.86
"02","000","00","0000","005",39.74
"02","000","00","0000","006",36.05
"02","000","00","0000","007",33.33
"02","000","00","0000","008",28
"02","000","00","0000","009",31.43
"02","000","00","0000","010",31.6
"02","000","00","0000","011",35.78
"03","001","00","0000","001",41.53
"03","001","00","0000","002",44.63
"03","001","00","0000","003",37.24
"03","001","00","0000","004",36.23
"03","001","00","0000","005",31.82
"03","001","00","0000","006",43.25
"03","001","00","0000","007",29.84
"03","001","00","0000","008",37.13
"03","001","00","0000","009",45.83
"03","001","00","0000","010",37.16
"03","001","00","0000","011",26.92
"03","001","00","0000","012",32.57
"03","001","00","0000","013",45
"03","001","00","0000","014",25.58
"03","001","00","0000","015",58.82
"03","001","00","0000","016",53.33
"03","001","00","0000","017",55
"03","001","00","0000","018",39.35
"03","001","00","0000","019",56.95
"03","001","00","0000","020",45.71
"03","001","00","0000","021",30.56
"03","001","00","0000","022",37.5
"03","001","00","0000","023",25
"03","001","00","0000","024",62.4
"03","001","00","0000","025",45.58
"03","001","00","0000","026",31.43
"03","001","00","0000","027",0
"03","001","00","0000","028",0
"03","001","00","0000","029",35.71
"03","002","00","0000","001",39.42
"03","002","00","0000","002",44.78
"03","002","00","0000","003",35.77
"03","002","00","0000","004",44.83
"03","002","00","0000","005",36.11
"03","002","00","0000","006",44.12
"03","002","00","0000","007",45.26
"03","002","00","0000","008",39.85
"03","002","00","0000","009",28.36
"03","002","00","0000","010",34.74
"03","002","00","0000","011",63.28
"03","002","00","0000","012",60.61
"03","003","00","0000","001",35.1
"03","003","00","0000","002",34.52
"03","003","00","0000","003",40.76
"03","003","00","0000","004",37.91
"03","003","00","0000","005",32.89
"03","003","00","0000","006",46
"03","003","00","0000","007",52.77
"03","003","00","0000","008",37.14
"03","003","00","0000","009",43.36
"03","003","00","0000","010",38.27
"03","003","00","0000","011",40.52
"03","003","00","0000","012",39.34
"03","003","00","0000","013",37.11
"03","004","00","0000","001",43.1
"03","004","00","0000","002",42.17
"03","004","00","0000","003",34.29
"03","004","00","0000","004",39.25
"03","004","00","0000","005",34.14
"03","004","00","0000","006",31.58
"03","004","00","0000","007",55.38
"03","004","00","0000","008",50
"03","004","00","0000","009",46.15
"03","004","00","0000","010",42.11
"03","004","00","0000","011",33.33
"03","004","00","0000","012",56.03
"03","004","00","0000","013",55.22
"03","005","00","0000","001",45.32
"03","005","00","0000","002",53.85
"03","005","00","0000","003",46.15
"03","005","00","0000","004",26.09
"03","005","00","0000","005",33.77
"03","005","00","0000","006",43.59
"03","005","00","0000","007",64.29
"03","005","00","0000","008",56.7
"03","005","00","0000","009",48.65
"03","005","00","0000","010",56.52
"03","005","00","0000","011",40.24
"03","005","00","0000","012",57.14
"03","005","00","0000","013",57.89
"03","005","00","0000","014",33.33
"03","005","00","0000","015",58.82
"03","005","00","0000","016",60
"03","005","00","0000","017",80
"03","005","00","0000","018",72.78
"03","006","00","0000","001",38.78
"03","006","00","0000","002",34.27
"03","006","00","0000","003",38.34
"03","006","00","0000","004",46.92
"03","006","00","0000","005",65.12
"03","006","00","0000","006",50
"03","006","00","0000","007",33.66
"03","006","00","0000","008",31.33
"03","006","00","0000","009",53.03
"03","006","00","0000","010",41.85
"03","006","00","0000","011",39.07
"03","006","00","0000","012",34.95
"03","006","00","0000","013",48.53
"03","006","00","0000","014",42.31
"03","006","00","0000","015",47.22
"03","006","00","0000","016",50
"03","006","00","0000","017",36.22
"03","006","00","0000","018",33.33
"03","006","00","0000","019",35.34
"03","006","00","0000","020",29.49
"03","006","00","0000","021",67.16
"03","007","00","0000","001",43.54
"03","007","00","0000","002",41.33
"03","007","00","0000","003",54.55
"03","007","00","0000","004",43.75
"03","007","00","0000","005",29.73
"03","007","00","0000","006",30
"03","007","00","0000","007",38.79
"03","007","00","0000","008",25
"03","007","00","0000","009",30.56
"03","007","00","0000","010",50
"03","007","00","0000","011",46.67
"03","007","00","0000","012",45.45
"03","007","00","0000","013",34.78
"03","007","00","0000","014",38.24
"03","007","00","0000","015",30
"03","007","00","0000","016",60
"03","007","00","0000","017",44.44
"03","007","00","0000","018",76.92
"03","007","00","0000","019",72.22
"03","007","00","0000","020",42.11
"03","007","00","0000","021",62.5
"03","007","00","0000","022",10
"03","007","00","0000","023",52
"03","007","00","0000","024",40.38
"03","007","00","0000","025",33.33
"03","007","00","0000","026",100
"03","008","00","0000","001",40.64
"03","008","00","0000","002",46.73
"03","008","00","0000","003",45.79
"03","008","00","0000","004",38.64
"03","008","00","0000","005",51.43
"03","008","00","0000","006",44
"03","008","00","0000","007",50
"03","008","00","0000","008",53.33
"03","008","00","0000","009",50
"03","008","00","0000","010",45.16
"03","008","00","0000","011",41.67
"03","008","00","0000","012",57.49
"03","008","00","0000","013",60.55
"03","009","00","0000","001",44.64
"03","009","00","0000","002",40
"03","009","00","0000","003",41.03
"03","009","00","0000","004",29.03
"03","009","00","0000","005",33.33
"03","009","00","0000","006",25
"03","009","00","0000","007",50
"03","009","00","0000","008",22.22
"03","009","00","0000","009",48
"03","009","00","0000","010",47.06
"03","009","00","0000","011",33.33
"03","009","00","0000","012",15.38
"03","009","00","0000","013",60
"03","009","00","0000","014",50
"03","009","00","0000","015",44.44
"03","009","00","0000","016",37.5
"03","009","00","0000","017",90.91
"03","009","00","0000","018",37.5
"03","009","00","0000","019",45.45
"03","009","00","0000","020",100
"03","010","00","0000","001",13.33
"03","010","00","0000","002",43.75
"03","010","00","0000","003",46.15
"03","010","00","0000","004",60
"03","010","00","0000","005",38.33
"03","010","00","0000","006",44.44
"03","010","00","0000","007",46.67
"03","010","00","0000","008",54.55
"03","010","00","0000","009",50
"03","010","00","0000","010",0
"03","010","00","0000","011",80
"03","010","00","0000","012",38.81
"03","010","00","0000","013",27.12
"03","010","00","0000","014",28.57
"03","010","00","0000","015",66.67
"03","010","00","0000","016",63.64
"03","010","00","0000","017",41.18
"03","010","00","0000","018",52.74
"03","011","00","0000","001",37.5
"03","011","00","0000","002",41.85
"03","011","00","0000","003",40
"03","011","00","0000","004",55.56
"03","011","00","0000","005",40
"03","011","00","0000","006",75
"03","011","00","0000","007",25
"03","011","00","0000","008",58.82
"03","011","00","0000","009",53.85
"03","011","00","0000","010",25
"03","011","00","0000","011",42.86
"03","011","00","0000","012",50
"03","011","00","0000","013",37.5
"03","011","00","0000","014",75
"03","011","00","0000","015",13.33
"03","011","00","0000","016",22.22
"03","011","00","0000","017",100
"03","011","00","0000","018",66.67
"03","011","00","0000","019",68.42
"03","011","00","0000","020",57.14
"03","011","00","0000","021",30
"03","011","00","0000","022",27.27
"03","011","00","0000","023",0
"03","011","00","0000","024",42.11
"03","011","00","0000","025",60
"03","011","00","0000","026",60
"03","011","00","0000","027",33.33
"03","011","00","0000","028",34.25
"03","011","00","0000","029",29.55
"03","011","00","0000","030",30.77
"03","011","00","0000","031",0
"03","012","00","0000","001",46.89
"03","012","00","0000","002",46.79
"03","012","00","0000","003",45.63
"03","012","00","0000","004",52.35
"03","012","00","0000","005",22.22
"03","012","00","0000","006",34.57
"03","012","00","0000","007",39.02
