"prv_code","city_code","area_code","li_code","dept_code","vote_to_votable"
"00","000","00","0000","000",54.83
"63","000","00","0000","000",57.65
"63","000","00","0000","001",59.09
"63","000","00","0102","001",58.18
"63","000","00","0103","001",61.56
"63","000","00","0104","001",59.7
"63","000","00","0105","001",62.78
"63","000","00","0106","001",59.62
"63","000","00","0107","001",61.28
"63","000","00","0108","001",60.37
"63","000","00","0109","001",62.8
"63","000","00","0110","001",59.66
"63","000","00","0111","001",58.39
"63","000","00","0112","001",61.43
"63","000","00","0113","001",62.73
"63","000","00","0114","001",58.98
"63","000","00","0115","001",59.86
"63","000","00","0116","001",61.06
"63","000","00","0117","001",60.53
"63","000","00","0118","001",47.13
"63","000","00","0119","001",57.25
"63","000","00","0120","001",60.89
"63","000","00","0121","001",61.86
"63","000","00","0122","001",59.63
"63","000","00","0124","001",55.75
"63","000","00","0125","001",60.72
"63","000","00","0126","001",57.75
"63","000","00","0127","001",56.05
"63","000","00","0128","001",59.5
"63","000","00","0129","001",57.7
"63","000","00","0130","001",58.03
"63","000","00","0131","001",59.98
"63","000","00","0132","001",55.46
"63","000","00","0133","001",60.86
"63","000","00","0134","001",59.32
"63","000","00","0135","001",57.5
"63","000","00","0000","002",57.82
"63","000","00","0201","002",48.55
"63","000","00","0202","002",60.4
"63","000","00","0203","002",56.05
"63","000","00","0204","002",54.23
"63","000","00","0205","002",59.01
"63","000","00","0206","002",59.24
"63","000","00","0207","002",60.88
"63","000","00","0208","002",60.15
"63","000","00","0209","002",59.36
"63","000","00","0210","002",58.31
"63","000","00","0211","002",58.55
"63","000","00","0212","002",57.73
"63","000","00","0213","002",55.66
"63","000","00","0214","002",54.84
"63","000","00","0215","002",57.98
"63","000","00","0216","002",61.41
"63","000","00","0217","002",58.74
"63","000","00","0218","002",59.48
"63","000","00","0219","002",56.42
"63","000","00","0220","002",60.98
"63","000","00","0221","002",56.04
"63","000","00","0222","002",57.66
"63","000","00","0223","002",57.6
"63","000","00","0224","002",61.58
"63","000","00","0225","002",59.04
"63","000","00","0226","002",57.31
"63","000","00","0227","002",58.85
"63","000","00","0228","002",54.43
"63","000","00","0229","002",56.68
"63","000","00","0230","002",58.78
"63","000","00","0231","002",53.81
"63","000","00","0232","002",56.74
"63","000","00","0233","002",55.44
"63","000","00","0234","002",60.51
"63","000","00","0235","002",55.54
"63","000","00","0236","002",58.68
"63","000","00","0237","002",60.45
"63","000","00","0238","002",57.02
"63","000","00","0239","002",56.57
"63","000","00","0240","002",58.49
"63","000","00","0241","002",57.16
"63","000","00","0000","003",57.46
"63","000","00","0301","003",57.2
"63","000","00","0302","003",60.05
"63","000","00","0303","003",59.98
"63","000","00","0304","003",56.88
"63","000","00","0305","003",52.28
"63","000","00","0306","003",60.67
"63","000","00","0307","003",52.61
"63","000","00","0308","003",55.29
"63","000","00","0309","003",53.04
"63","000","00","0310","003",53.92
"63","000","00","0311","003",60.2
"63","000","00","0312","003",59.13
"63","000","00","0313","003",60.87
"63","000","00","0314","003",61.56
"63","000","00","0315","003",46.76
"63","000","00","0316","003",59.23
"63","000","00","0317","003",59.13
"63","000","00","0318","003",57.42
"63","000","00","0319","003",59.56
"63","000","00","0320","003",57.86
"63","000","00","0321","003",60.3
"63","000","00","0322","003",58
"63","000","00","0323","003",61.13
"63","000","00","0326","003",58.98
"63","000","00","0327","003",56.39
"63","000","00","0328","003",60.23
"63","000","00","0329","003",54.19
"63","000","00","0330","003",58.18
"63","000","00","0331","003",55.07
"63","000","00","0332","003",60.49
"63","000","00","0333","003",58.41
"63","000","00","0334","003",60.18
"63","000","00","0335","003",56.63
"63","000","00","0336","003",56.4
"63","000","00","0337","003",58.34
"63","000","00","0338","003",58.11
"63","000","00","0339","003",42.52
"63","000","00","0340","003",60.49
"63","000","00","0341","003",59.29
"63","000","00","0343","003",58.3
"63","000","00","0344","003",58.51
"63","000","00","0346","003",57.29
"63","000","00","0347","003",59.11
"63","000","00","0348","003",56.17
"63","000","00","0349","003",55.05
"63","000","00","0350","003",55.44
"63","000","00","0351","003",56.34
"63","000","00","0352","003",54.53
"63","000","00","0353","003",57.32
"63","000","00","0354","003",58.21
"63","000","00","0355","003",57.06
"63","000","00","0356","003",58.69
"63","000","00","0357","003",59.39
"63","000","00","0000","004",56.97
"63","000","00","0401","004",56.13
"63","000","00","0402","004",51.15
"63","000","00","0403","004",55.72
"63","000","00","0404","004",59.86
"63","000","00","0405","004",54.73
"63","000","00","0406","004",53.73
"63","000","00","0407","004",51.13
"63","000","00","0408","004",56.11
"63","000","00","0409","004",55.57
"63","000","00","0410","004",54.67
"63","000","00","0411","004",52.9
"63","000","00","0412","004",55.83
"63","000","00","0413","004",57.68
"63","000","00","0414","004",60.78
"63","000","00","0415","004",60.38
"63","000","00","0416","004",58.86
"63","000","00","0417","004",56.99
"63","000","00","0418","004",55.38
"63","000","00","0419","004",60.55
"63","000","00","0420","004",58.04
"63","000","00","0421","004",59.65
"63","000","00","0422","004",53.18
"63","000","00","0423","004",53.73
"63","000","00","0424","004",40.57
"63","000","00","0425","004",57.88
"63","000","00","0426","004",56.7
"63","000","00","0427","004",60.5
"63","000","00","0428","004",58.59
"63","000","00","0429","004",57.94
"63","000","00","0430","004",57.07
"63","000","00","0431","004",62.73
"63","000","00","0432","004",57.8
"63","000","00","0433","004",60.93
"63","000","00","0434","004",57.48
"63","000","00","0435","004",63.01
"63","000","00","0436","004",56.41
"63","000","00","0437","004",60.68
"63","000","00","0438","004",62.55
"63","000","00","0439","004",57.11
"63","000","00","0440","004",56.02
"63","000","00","0441","004",59.14
"63","000","00","0442","004",62.59
"63","000","00","0000","005",58.31
"63","000","00","0501","005",58.17
"63","000","00","0502","005",58.9
"63","000","00","0503","005",60.4
"63","000","00","0504","005",60.75
"63","000","00","0505","005",56.8
"63","000","00","0506","005",61.36
